"","MOLECULE_NAME","SMILES","STRUCTURE","FDA_APPROVED"
"103","GW843682X","COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N)c2cc1OC","http://data.lincscloud.org/pert_images/BRD-K90382497.png",FALSE
"104","HLI373","CN(C)CCCNc1c2ccccc2n(C)c2nc(=O)n(C)c(=O)c12","http://data.lincscloud.org/pert_images/BRD-K17349619.png",FALSE
"105","HYPERFORIN","CC(C)C(=O)[C@@]12C(=O)C(CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O","http://data.lincscloud.org/pert_images/BRD-A80775386.png",FALSE
"106","IBRUTINIB","Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)C1CCCN(C1)C(=O)C=C","http://data.lincscloud.org/pert_images/BRD-A35869383.png",FALSE
"107","IFOSFAMIDE","ClCCNP1(=O)OCCCN1CCCl","http://data.lincscloud.org/pert_images/BRD-A67097164.png",TRUE
"108","IMATINIB","CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1","http://data.lincscloud.org/pert_images/BRD-K92723993.png",FALSE
"109","IMPORTAZOLE","CC(Nc1nc(nc2ccccc12)N3CCCC3)c4ccccc4","http://data.lincscloud.org/pert_images/BRD-A02481876.png",FALSE
"110","ISOLIQUIRITIGENIN","Oc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1","http://data.lincscloud.org/pert_images/BRD-K33583600.png",FALSE
"111","ISONICOTINOHYDROXAMICACID","ONC(=O)c1ccncc1","http://data.lincscloud.org/pert_images/BRD-K55478147.png",FALSE
"112","ISOX","CC(C)(C)OC(=O)Nc1ccc(cc1)-c1cc(no1)C(=O)NCCCCCCC(=O)NO","http://data.lincscloud.org/pert_images/BRD-K69840642.png",FALSE
"113","ITRACONAZOLE","CCC(C)n1ncn(c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(O5)c7ccc(Cl)cc7Cl)cc4)c1=O","http://data.lincscloud.org/pert_images/BRD-A34817987.png",TRUE
"114","KI8751","COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC","http://data.lincscloud.org/pert_images/BRD-K47150025.png",FALSE
"115","KO143","COc1ccc2c3C[C@@H]4N([C@@H](CC(C)C)c3[nH]c2c1)C(=O)[C@H](CCC(=O)OC(C)(C)C)NC4=O","http://data.lincscloud.org/pert_images/BRD-K64642496.png",FALSE
"116","KU0060648","CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c3oc(cc4=O)N3CCOCC3)c3sc4ccccc4c23)CC1","http://data.lincscloud.org/pert_images/BRD-K09499853.png",FALSE
"117","KU0063794","COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1","http://data.lincscloud.org/pert_images/BRD-K67566344.png",FALSE
"118","KU55933","O=c1cc(oc(c1)c2cccc3Sc4ccccc4Sc23)N5CCOCC5","http://data.lincscloud.org/pert_images/BRD-K25311561.png",FALSE
"119","KU60019","CC1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)CC(C)O1","http://data.lincscloud.org/pert_images/BRD-A90451247.png",FALSE
"120","LAPATINIB","C.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1","http://data.lincscloud.org/pert_images/BRD-M07438658.png",TRUE
"121","LE135","CN1c2ccccc2C(=Nc3cc4c(cc13)C(C)(C)CCC4(C)C)c5ccc(cc5)C(=O)O","http://data.lincscloud.org/pert_images/BRD-K06593056.png",FALSE
"122","LINIFANIB","Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1","http://data.lincscloud.org/pert_images/BRD-K99749624.png",FALSE
"123","LINSITINIB","CC1(C)CC(C1)c1nc(-c2ccc3ccc(nc3c2)-c2ccccc2)c2c(N)nccn12","http://data.lincscloud.org/pert_images/BRD-K08589866.png",FALSE
"124","LOVASTATIN","CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12","http://data.lincscloud.org/pert_images/BRD-K09416995.png",TRUE
"125","LY2183240","CN(C)C(=O)n1nnnc1Cc2ccc(cc2)c3ccccc3","http://data.lincscloud.org/pert_images/BRD-K37865504.png",FALSE
"126","MANUMYCINA","CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2OC2C1=O","http://data.lincscloud.org/pert_images/BRD-A77216878.png",FALSE
"127","MASITINIB","CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1","http://data.lincscloud.org/pert_images/BRD-K71035033.png",FALSE
"128","MERCK60","CC(=O)Nc1ccc(cc1)C(=O)Nc2cc(ccc2N)c3cccs3","http://data.lincscloud.org/pert_images/BRD-K04466929.png",FALSE
"129","METHOTREXATE","CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O","http://data.lincscloud.org/pert_images/BRD-A55424491.png",FALSE
"130","MG132","CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O","http://data.lincscloud.org/pert_images/BRD-K60230970.png",FALSE
